id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,_3_4_methylenedioxyphenylacetone,_4f_mdmb_butinaca,_5f_adb,_5f_mdmb_pica,abime,acetylcodeine,acetylthebaol,acide_4_hydroxybutanoique,adb_butinaca,amidon,amphetamine,buprenorphine,cafeine,cbd,cbn,clonazepam,cocaine,codeine,couleur,couleur_exterieur,couleur_exterieur_1,couleur_exterieur_2,couleur_interieur,delta8_tetrahydrocannabinol,delta9_tetrahydrocannabinol,diametre,epaisseur,etiquette,forme,fub_amb,gammabutyrolactone,hauteur,ketamine,lactose,largeur,levamisole,lidocaine,logo,longueur,mannitol,masse,mdmb_4en_pinaca,morphine,n_methyl_tryptamine,nom_de_logo,noscapine,numero_echantillon,o6_monoacetylmorphine,ovule,paracetamol,phenacetine,presentation,procaine,secabilite_recto,secabilite_verso,taux_cbd,taux_cbn,type_drogue,vanilline,visqueux
460,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,76.2,Non,,,,,,,,,1,,0,,,,,,,,,Divers,,
461,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,76.2,Non,,,,,,,,,1,,0,,,,,,,,,Divers,,
490,,,,,,,,,,,,,,,33.6,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,H1,,0,68.8,,,,,,,,Divers,,
491,,,,,,,,,,,,,,,33.6,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,H2,,0,68.8,,,,,,,,Divers,,
505,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,5065,,0,,,,,,,,,Divers,,
518,26,,,,,,Non,,,,,,,,0,,,,,,,Vert,,,,,,,6.47,,Autre,,,11.19,,,9.01,,,Oui,,,476,,,,personnage SAW,,CFJ ECHANT 1-1,,,,,,,Aucune,Aucune,,,Divers,,
519,26,,,,,,Non,,,,,,,,0,,,,,,,Vert,,,,,,,6.47,,Autre,,,11.19,,,9.01,,,Oui,,,476,,,,personnage SAW,,CFJ ECHANT 1BIS-1,,,,,,,Aucune,Aucune,,,Divers,,
520,26,,,,,,Non,,,,,,,,0,,,,,,,Vert,,,,,,,6.47,,Autre,,,11.19,,,9.01,,,Oui,,,476,,,,personnage SAW,,CFJ ECHANT 1BIS-2,,,,,,,Aucune,Aucune,,,Divers,,
521,26,,,,,,Non,,,,,,,,0,,,,,,,Vert,,,,,,,6.47,,Autre,,,11.19,,,9.01,,,Oui,,,476,,,,personnage SAW,,CFJ ECHANT 1BIS-3,,,,,,,Aucune,Aucune,,,Divers,,
525,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,D1,,0,,,,,,,,,Divers,,
532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,6,,,Oui,,,,,,,soleil visage,,5406,,,,,,,,,,,Divers,,
539,,,,,,,,,,,,,,,,,,,,,Blanche,,Blanche,,,,,6.1,,,,,,,,,,,,Non,17.57,,,,,,,,1-1,,0,,,,,,,,,Divers,,
540,,,,,,,,,,,,,,,,,,,,,Blanche,,Blanche,,,,,6.1,,,,,,,,,,,,Non,17.57,,,,,,,,1-2,,0,,,,,,,,,Divers,,
