,id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,_3_4_methylenedioxyphenylacetone,_4f_mdmb_butinaca,_5f_adb,_5f_mdmb_pica,abime,acetylcodeine,acetylthebaol,acide_4_hydroxybutanoique,acide_benzoique,acide_borique,adb_butinaca,amidon,aminopyrine,amoxycilline,amphetamine,benzocaine,benzoylecgonine,bicarbonate_de_sodium,bicarbonates,buprenorphine,cafeine,cannabidiol,cannabigerol,cannabinol,cbd,cbn,cis_cinnamoylcocaine,clonazepam,clotrimazole,cocaine,codeine,couleur,couleur_exterieur,couleur_exterieur_1,couleur_exterieur_2,couleur_interieur,creatine,delta8_tetrahydrocannabinol,delta9_tetrahydrocannabinol,description_de_l_objet,dextromethorphane,diametre,diltiazem,dimethylterephtalate,diphenydramine,ecgonidine,ecgoninemethylester,epaisseur,etiquette,forme,fub_amb,gammabutyrolactone,glucose,griseofulvine,guaifenesine,hauteur,heroine,hydroxyzine,ibuprofene,inositol,isoleucine,ketamine,lactitol,lactose,largeur,leucine,levamisole,lidocaine,logo,longueur,maltose,mannitol,masse,mdmb_4en_pinaca,meconine,methamphetamine,methylecgonidine,monoacetylmorphine,morphine,nicotine,n_methyl_tryptamine,nom_de_logo,norcocaine,noscapine,numero_echantillon,o3_monoacetylmorphine_,o6_monoacetylmorphine,ovule,oxycodone,papaverine,paracetamol,phenacetine,piracetam,presentation,procaine,pv8,saccharose,secabilite_recto,secabilite_verso,sorbitol,talc,taux_cbd,taux_cbn,terephtalates,tetracaine,tramadol,trans_cinnamoylcocaine,tropacocaine,type_drogue,uree,valine,vanilline,visqueux
28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,2,,,,,,,,,Sommités,,,,,,,,,,,,,,,Cannabis,,,,
29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,11,,,,,,,,,Sommités,,,,,,,,,,,,,,,Cannabis,,,,
30,31,,,,,,,,,,,,,,,,,,,,,,,30.1,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,2/DM,,,0,,,57.9,,,,,,,,,,,,,,,,,,Héroïne,,,,
31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,5.2,,,,,,,,,,,,1,,,,,,,,,Morceaux,,,,,,,,1.6,1.4,,,,,,Cannabis,,,,
32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,3.1,,,,,,,,,,,,10,,,,,,,,,Morceaux,,,,,,,,1.5,0,,,,,,Cannabis,,,,
33,34,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,78.4,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,Non,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
34,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,2,,,0,,,,6.5,,,,,,,,,,,,,,,,,Cocaïne,,,,
35,36,23.9,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beige,,,,,,,,,11.09,,,,,,4.31,,Circulaire,,,,,,,,,,,,,,,,,,,Oui,,,,450,,,,,,,,,W volkswagen SR,,,AT5,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
36,37,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,Non,,,,,,,,,,,,,,,5.65,Plaquette O,,,0,,,45.05,,,,,,,,,,,,,,,,,,Héroïne,,,,
37,38,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,Non,,,,,,,,,,,,,,,5.65,Plaquette X,,,0,,,45.05,,,,,,,,,,,,,,,,,,Héroïne,,,,
38,39,,,,,,,,,,,,,,,,,8.5,,,,,,89.8,,,,,,,,,,,Blanc Cassé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,30-1,,,0,,,,,,,,,,,,,,,,,,,,,Amphétamine et dérivés,,,,
39,40,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,23.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.7,Non,,,,,,,,,,,,,,,,1,,,0,,,6.1,,,,,,,,,,,,,,,,,,Cocaïne,,,,
40,41,42,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Violet,,,,,,,,,15,,,,,,9.1,,Circulaire,,,,,,,,,,,,,,,,,,,Oui,,,,450,,,,,,,,,coca cola,,,2,,,,,,,,,,,,,Aucune,Demi,,,,,,,,,,Amphétamine et dérivés,,,,
41,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,3,,,,,,,,,Sommités,,,,,,,,,0,,,,,,Cannabis,,,,
42,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,Non,,,,,,,,,,,,,,,,6,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
43,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,9,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,946,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
45,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,947,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
46,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,948,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
47,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,949,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
48,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,5309,,,,,,,,,Sommités,,,,,,,,,,,,,,,Cannabis,,,,
49,50,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,3.8,,,,,,,,,,,,01,,,,,,,,,Morceaux,,,,,,,,2.5,1.5,,,,,,Cannabis,,,,
50,51,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,Non,,,,,,,,,,,,,,,9,20_053988,,,0,,,48,,,,,,,,,,,,,,,,,,Héroïne,,,,
51,52,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,33.3,,,,,,,,,22,Oui,,,,,,,,,,,,,,,,56,,,,Oui,111,,,98.2,,,,,,,,,HOMER SIMPSON,,,2,,,,,,,,,Plaquette,,,,,,,,2.3,0,,,,,,Cannabis,,,,
52,53,,,,,,,Non,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,33.3,,,,,,,,,22,Oui,,,,,,,,,,,,,,,,56,,,,Oui,111,,,98.2,,,,,,,,,HOMER SIMPSON,,,2,,,,,,,,,Plaquette,,,,Aucune,Demi,,,2.3,0,,,,,,Cannabis,,,,
53,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Dr P1 a,,,,,,,,,Sommités,,,,,,,,,0,,,,,,Cannabis,,,,
54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Dr P3 a,,,,,,,,,Sommités,,,,,,,,,0,,,,,,Cannabis,,,,
55,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Dr P2 a,,,,,,,,,Sommités,,,,,,,,,0,,,,,,Cannabis,,,,
56,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Dr P4 a,,,,,,,,,Sommités,,,,,,,,,0,,,,,,Cannabis,,,,
57,58,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,P1A,,,0,,,,,,,,,,,,,,,,,,,,,Amphétamine et dérivés,,,,
58,59,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,P2A,,,0,,,,,,,,,,,,,,,,,,,,,Amphétamine et dérivés,,,,
