id,_3_4_methylenedioxyethylamphetamine,abime,acide_benzoique,acide_borique,amidon,aminopyrine,amoxycilline,amphetamine,benzocaine,benzoylecgonine,bicarbonate_de_sodium,bicarbonates,cafeine,cbn,cis_cinnamoylcocaine,cocaine,codeine,couleur,couleur_exterieur,couleur_interieur,creatine,delta9_tetrahydrocannabinol,description_de_l_objet,diltiazem,dimethylterephtalate,diphenydramine,ecgonidine,ecgoninemethylester,epaisseur,forme,glucose,guaifenesine,hauteur,heroine,hydroxyzine,ibuprofene,inositol,isoleucine,lactitol,lactose,largeur,leucine,levamisole,lidocaine,logo,maltose,mannitol,masse,methylecgonidine,nicotine,nom_de_logo,norcocaine,numero_echantillon,ovule,oxycodone,paracetamol,phenacetine,piracetam,presentation,procaine,pv8,saccharose,secabilite_recto,secabilite_verso,sorbitol,talc,taux_cbn,terephtalates,tetracaine,tramadol,trans_cinnamoylcocaine,tropacocaine,type_drogue,uree,valine,visqueux
105,,,,,,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,,,,,,Liquide,,,,,,,,,,,,,,Cocaïne,,,
106,,,,,,,,,,,,,,,,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,a,,,,,,Liquide,,,,,,,,,,,,,,Cocaïne,,,
107,,,,,,,,,,,,,,,,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,A1,,,,,,Liquide,,,,,,,,,,,,,,Cocaïne,,,
108,,,,,,,,,,,,,,,,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,A2,,,,,,Liquide,,,,,,,,,,,,,,Cocaïne,,,
109,,,,,,,,,,,,,,,,56.8,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
110,,,,,,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,4,,,,,,Liquide,,,,,,,,,,,,,,Cocaïne,,,
111,,,,,,,,,,,,,0,,,78.4,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
112,,,,,,,,,,,,,,,,80,,Blanc Cassé,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,2,0,,,6.5,,,,,,,,,,,,,,,,Cocaïne,,,
114,,,,,,,,,,,,,10.5,,,40.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,42.6,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
115,,,,,,,,,,,,,,,,86.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,12,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
116,,,,,,,,,,,,,,,,90.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,22,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
117,,,,,,,,,,,,,,,,85.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,27,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
118,,,,,,,,,,,,,,,,88.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,30,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
119,,,,,,,,,,,,,,,,84.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,50,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
120,,,,,,,,,,,,,,,,91.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,63,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
121,,,,,,,,,,,,,,,,85.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,40,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
134,,,,,,,,,,,,,,,,38.8,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,56.7,,Non,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
135,,,,,,,,,,,,,7,,,49.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,26.4,,Non,,,,,,,,29-7,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
136,,,,,,,,,,,,,7,,,49.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,26.4,,Non,,,,,,,,29-9,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
137,,,,,,,,,,,,,7,,,49.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,26.4,,Non,,,,,,,,29-10,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
138,,,,,,,,,,,,,100,,,0,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,29-8,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
139,,,,,,,,,,,,,,,,85.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,3-35-1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
140,,,,,,,,,,,,,,,,85.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,3-35-2,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
142,,,,,,,,,,,,,,,,31.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,60.3,,Non,,,,,,,,7-35-1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
143,,,,,,,,,,,,,3.8,,,71.2,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,Non,,,,,,,,7-35-2,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
145,,,,,,,,,,,,,0,,,79.2,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Non,,,,,,,,1,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
146,,,,,,,,,,,,,,,,70.1,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
147,,,,,,,,,,,,,,,,76.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
148,,,,,,,,,,,,,,,,72.2,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
150,,,,,,,,,,,,,,,,80.8,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
151,,,,,,,,,,,,,,,,77.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
152,,,,,,,,,,,,,,,,76.6,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
153,,,,,,,,,,,,,,,,81.6,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
160,,,,,,,,,,,,,,,,43.2,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,AS1,0,,,35.3,,,,,,,,,,,,,,,,Cocaïne,,,
161,,,,,,,,,,,,,,,,43.2,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,AS2,0,,,35.3,,,,,,,,,,,,,,,,Cocaïne,,,
162,,,,,,,,,,,,,,,,43.2,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,AT14,0,,,35.3,,,,,,,,,,,,,,,,Cocaïne,,,
174,,,,,,,,,,,,,,,,32,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,9-1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
175,,,,,,,,,,,,,,,,32,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,9-2,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
176,,,,,,,,,,,,,,,,32,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,9-3,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
177,,,,,,,,,,,,,,,,32,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,9-4,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
