id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,abime,amphetamine,cafeine,couleur,couleur_exterieur,couleur_interieur,diametre,epaisseur,forme,hauteur,largeur,lidocaine,logo,masse,methamphetamine,nom_de_logo,numero_echantillon,ovule,phenacetine,secabilite_recto,secabilite_verso,type_drogue,visqueux
5784,41,,Non,0,0,,Orange,Orange,,3.85,Polygonale,10.1,14.04,,Oui,408.6,,The Punisher,1-2,,,Aucune,Demi,Amphétamine et dérivés,
5785,40,,Non,0,0,,Orange,Orange,,3.85,Polygonale,10.1,14.04,,Oui,381.3,,The Punisher,1-3,,,Aucune,Demi,Amphétamine et dérivés,
5813,19,,Non,,,,Grise,,,4,Rectangulaire / Carré,9,12,,Oui,453,,Red Bull,10 comprimés,,,Aucune,Demi,Amphétamine et dérivés,
5861,0,,Non,,,,Rose,Rose,,5.39,Autre,11.21,11.84,,Oui,646,,KENZO - tête de tigre,4-1,,,Aucune,Aucune,Amphétamine et dérivés,
5862,0,,Non,,,,Rose,Rose,,5.39,Autre,11.21,11.84,,Oui,646,,KENZO - tête de tigre,4-8,,,Aucune,Aucune,Amphétamine et dérivés,
5916,,,,0,34.4,Blanc Cassé,,,,,,,,,Non,,,,5,0,,,,Amphétamine et dérivés,
6112,,,,,,Translucide,,,,,,,,,Non,,100,,P6,0,,,,Amphétamine et dérivés,
6184,53.9,,Non,,,,Rose,Rose,,4.94,Autre,9.82,10.67,,Oui,352,,fraise,3,,,Aucune,Aucune,Amphétamine et dérivés,
6185,36.3,,Oui,,,,Rose,Rose,,5.36,Autre,0,9.45,,Non,245,,,1,,,Aucune,Demi,Amphétamine et dérivés,
6213,,,Non,16,,,Blanche,Blanche,10.16,4.6,Circulaire,,,,Oui,361,,"Captagon, demi lune",16,,,Aucune,Demi,Amphétamine et dérivés,
6214,,,Non,16,,,Blanche,Blanche,10.16,4.6,Circulaire,,,,Oui,361,,"Captagon, demi lune",39-2,,,Aucune,Demi,Amphétamine et dérivés,
6248,70,,Non,,,,Bleue,,,3.5,Rectangulaire / Carré,6.14,13.17,,Oui,311.7,,domino,1-1,,,Demi,Aucune,Amphétamine et dérivés,
6249,64,,Non,,,,Bleue,,,3.28,Rectangulaire / Carré,6.14,13.17,,Oui,295.2,,domino,1-2,,,Demi,Aucune,Amphétamine et dérivés,
6354,35.1,,Non,,,,Grise,Grise,,5.21,Autre,14.23,10.21,,Oui,501,,Tête de mort MY BRAND,"4-1, 4-2 et 4-3",,,Aucune,Demi,Amphétamine et dérivés,
6395,26.9,,Non,,,,Jaune,Jaune,,5.9,Autre,8.1,12.1,,Oui,463,,SKITTLES,CP1,,,Aucune,Demi,Amphétamine et dérivés,
6396,33.7,,Non,,,,Jaune,Jaune,,5.6,Autre,8.1,12.1,,Oui,453,,SKITTLES,CP1,,,Aucune,Demi,Amphétamine et dérivés,
6397,33.7,,Non,,,,Jaune,Jaune,,5.6,Autre,8.1,12.1,,Oui,453,,SKITTLES,Poudre,,,Aucune,Demi,Amphétamine et dérivés,
6398,30.3,,Non,,,,Vert,Vert,,4.2,Polygonale,8.2,12.2,,Non,288,,,CP1,,,Aucune,Demi,Amphétamine et dérivés,
6399,30.3,,Non,,,,Vert,Vert,,4.2,Polygonale,8.2,12.2,,Non,288,,,jaune,,,Aucune,Demi,Amphétamine et dérivés,
6400,29.1,,Non,,,,Jaune,Jaune,,5.6,Autre,8.1,12.1,,Oui,447,,SKITTLES,CP1,,,Aucune,Demi,Amphétamine et dérivés,
6409,50.9,,Non,,,,Grise,Grise,,6,Autre,12.2,9.1,,Oui,469,,Reaper,CP1,,,Aucune,Demi,Amphétamine et dérivés,
6410,45.2,,Non,,,,Bleue,Bleue,,5.8,Autre,8.1,12,,Oui,454,,MASERATI,CP1,,,Aucune,Demi,Amphétamine et dérivés,
6411,31.2,,Non,,,,Jaune,Jaune,,5.8,Autre,8.1,12.1,,Oui,472,,SKITTLES,CP1,,,Aucune,Demi,Amphétamine et dérivés,
6412,31.8,,Non,,,,Jaune,Jaune,,5.2,Autre,12.2,7.8,,Oui,382,,HIBOU CHOUETTE,CP1,,,Aucune,Aucune,Amphétamine et dérivés,
6509,,,,0,82,Blanche,,,,,,,,,Non,,,,23,0,,,,Amphétamine et dérivés,
6535,8,,Non,0,0,,Multicolore,Violet,,4.44,Autre,8.82,12.13,,Non,492,,,1-1,,,Aucune,Demi,Amphétamine et dérivés,
6536,8,,Non,0,0,,Multicolore,Violet,,4.44,Autre,8.82,12.13,,Non,492,,,1-2,,,Aucune,Demi,Amphétamine et dérivés,
6537,8,,Non,0,0,,Multicolore,Violet,,4.44,Autre,8.82,12.13,,Non,492,,,1-3,,,Aucune,Demi,Amphétamine et dérivés,
6538,8,,Non,0,0,,Multicolore,Violet,,4.44,Autre,8.82,12.13,,Non,492,,,1-4,,,Aucune,Demi,Amphétamine et dérivés,
6539,8,,Non,0,0,,Multicolore,Violet,,4.44,Autre,8.82,12.13,,Non,492,,,1-5,,,Aucune,Demi,Amphétamine et dérivés,
6581,100,,,,,Translucide,,,,,,,,,Non,,,,ech,0,,,,Amphétamine et dérivés,
6582,100,,,,,Translucide,,,,,,,,,Non,,,,ech 1,0,,,,Amphétamine et dérivés,
6583,100,,,,,Translucide,,,,,,,,,Non,,,,ech 2,0,,,,Amphétamine et dérivés,
