id,_3_4_methylene_dioxy_methylamphetamine,acetylcodeine,acetylthebaol,cafeine,clotrimazole,cocaine,couleur,description_de_l_objet,dextromethorphane,griseofulvine,heroine,logo,mannitol,meconine,monoacetylmorphine,morphine,nom_de_logo,noscapine,numero_echantillon,o3_monoacetylmorphine_,o6_monoacetylmorphine,ovule,papaverine,paracetamol,phenacetine,presentation,saccharose,type_drogue
500,,,,25.2,,,Beige,,,,8.1,Non,,,,,,6.4,2-4,,,0,,46.8,,,,Héroïne
501,,,,25.2,,,Beige,,,,8.1,Non,,,,,,6.4,2-5,,,0,,46.8,,,,Héroïne
502,,,,25.2,,,Beige,,,,8.1,Non,,,,,,6.4,2-6,,,0,,46.8,,,,Héroïne
533,,,,31.4,,,Beige,,,,0,Non,,,,,,0,l,,,0,,59.2,,,,Héroïne
534,,,,32,,,Beige,,,,3.3,Non,,,,,,0,l2,,,0,,61.1,,,,Héroïne
535,,,,11,,,Beige,,,,49.7,Non,,,,,,11.1,1,,,0,,8.7,,,,Héroïne
548,,,,23,,5.6,Autre,,,,6.6,Non,,,3.1,,,5.2,Pot,,,0,,46.6,,,,Héroïne
549,,,,23.6,,3,Autre,,,,7.5,Non,,,3.6,,,5.7,Carte,,,0,,47.2,,,,Héroïne
757,,,,16,,,Beige,,,,30,Non,,,,,,15,20_066132,,,0,,31,,,,Héroïne
822,,,,29,,,Beige,,,,8.9,Non,,,,,,0,12-1,,,0,,53.8,,,,Héroïne
823,,,,29,,,Beige,,,,8.9,Non,,,,,,0,12-2,,,0,,53.8,,,,Héroïne
824,,,,29,,,Beige,,,,8.9,Non,,,,,,0,12-3,,,0,,53.8,,,,Héroïne
825,,,,29,,,Beige,,,,8.9,Non,,,,,,0,12-4,,,0,,53.8,,,,Héroïne
895,,,,,,,Marron,,,,55.9,Non,,,,,,19.5,S1,,,0,,,,,,Héroïne
896,,,,,,,Beige,,,,55.5,Non,,,,,,23.8,E2,,,0,,,,,,Héroïne
897,,,,22.1,,,Beige,,,,19,Non,,,,,,9,E3,,,0,,42.8,,,,Héroïne
898,,,,36,,0,Beige,,,,0,Non,,,,,,,E1,,,0,,69.1,,,,Héroïne
913,,,,,,,Beige,,,,54,Non,,,,,,22,20_066162,,,0,,2,,,,Héroïne
914,,,,26.6,,,Marron,,,,10.1,Non,,,,,,0,S4,,,0,,57.6,,,,Héroïne
1028,,,,20,,,Beige,,,,22.3,Non,,,,,,13.7,1,,,0,,32,,,,Héroïne
1030,,,,36.2,,,Beige,,,,0,Non,,,,,,,10,,,0,,70.1,,,,Héroïne
1051,,,,22.95,,,Beige,,,,14.4,Non,,,,,,7.9,P1,,,0,,44.85,,,,Héroïne
1052,,,,22.95,,,Beige,,,,14.4,Non,,,,,,7.9,P2,,,0,,44.85,,,,Héroïne
1057,,,,28.4,,,Beige,,,,10,Non,,,,,,,4,,,0,,56.4,,,,Héroïne
1058,,,,28.4,,,Beige,,,,10,Non,,,,,,,7,,,0,,56.4,,,,Héroïne
1070,,,,,,,Beige,,,,61.6,Non,,,,,,21.4,1-5,,,0,,,,,,Héroïne
1071,,,,,,,Beige,,,,61.6,Non,,,,,,21.4,1-7,,,0,,,,,,Héroïne
1072,,,,,,,Beige,,,,61.6,Non,,,,,,21.4,1-9,,,0,,,,,,Héroïne
1073,,,,24.2,,,Beige,,,,18.4,Non,,,,,,6.8,1-11,,,0,,46.2,,,,Héroïne
1093,,,,0,,0,Marron,,,,56.5,Non,,,,,,17,41-2,,,0,,0,,,,Héroïne
1094,,,,26.3,,0,Beige,,,,11.6,Non,,,,,,0,52-1,,,0,,49.9,,,,Héroïne
1095,,,,25.6,,0,Beige,,,,11.2,Non,,,,,,0,52-4,,,0,,48.8,,,,Héroïne
1101,,,,0,,87.3,Blanc Cassé,,,,0,Non,,,,,,,54,,,0,,,,,,Héroïne
1102,,,,20.8,,14.4,Marron,,,,6.8,Non,,,,,,0,60-1,,,0,,34.6,,,,Héroïne
