id,_3_4_methylenedioxyethylamphetamine,couleur,diametre,epaisseur,forme,hauteur,largeur,masse
2014,,Grise,0,5.75,Autre,12.14,8.68,470
2022,,Rose,0,4.9,Autre,11,9.95,400
2023,,Rose,0,4.9,Autre,11,9.95,400
2024,,Rose,0,4.9,Autre,11,9.95,400
2066,,Orange,0,5.46,Polygonale,7.12,11.67,462
2067,,Orange,0,5.46,Polygonale,7.12,11.67,462
2068,,Orange,0,5.46,Polygonale,7.12,11.67,462
2069,,Orange,0,5.23,Polygonale,6.02,11.54,446
2071,,Bleue,0,4.84,Autre,13.11,12.79,535
2072,,Bleue,0,4.84,Autre,13.11,12.79,535
2073,,Bleue,0,4.84,Autre,13.11,12.79,535
2145,,Bleue,0,4.55,Rectangulaire_Carré,9.11,9.11,475
2146,,Bleue,0,4.55,Rectangulaire_Carré,9.11,9.11,475
2147,,Bleue,0,4.55,Rectangulaire_Carré,9.11,9.11,475
2187,,Blanche,0,0,,0,0,0
2188,,Blanche,0,0,,0,0,0
2189,,Bleue,0,4.47,Triangulaire,9.7,13.6,431
2190,,Bleue,0,4.47,Triangulaire,9.7,13.6,431
2191,,Bleue,0,4.47,Triangulaire,9.7,13.6,431
2192,,Bleue,0,5.5,Autre,12.1,8.1,420
2193,,Blanche,0,0,,0,0,0
2194,,Rose,7.1,4.3,Circulaire,0,0,214
2195,,Blanche,0,0,,0,0,0
2198,,Blanc Cassé,0,0,,0,0,0
2202,,Violet,0,4.64,Rectangulaire_Carré,9.07,9.07,448
2203,,Violet,0,4.64,Rectangulaire_Carré,9.07,9.07,448
2204,,Violet,0,4.64,Rectangulaire_Carré,9.07,9.07,448
2205,,Violet,0,4.64,Rectangulaire_Carré,9.07,9.07,448
2206,,Violet,0,4.72,Rectangulaire_Carré,9.06,9.06,456
2207,,Violet,0,4.72,Rectangulaire_Carré,9.06,9.06,456
2208,,Violet,0,4.72,Rectangulaire_Carré,9.06,9.06,456
2209,,Violet,0,4.72,Rectangulaire_Carré,9.06,9.06,456
2210,,Violet,0,4.72,Rectangulaire_Carré,9.06,9.06,456
2211,,Violet,0,4.62,Rectangulaire_Carré,9.02,9.02,456
2221,,Rose,0,5.5,Polygonale,7.1,11.7,490
2222,,Rose,0,5.5,Polygonale,7.1,11.7,490
2223,,Rose,0,5.5,Polygonale,7.1,11.7,490
2224,,Rose,0,5.5,Polygonale,7.1,11.7,490
2225,,Rose,0,5.5,Polygonale,7.1,11.7,490
2226,,Rose,0,5.5,Polygonale,7.1,11.7,490
2228,,Rose,0,4.8,Autre,10.1,10.7,347.6
2250,,Orange,0,3.42,Polygonale,13.44,15.18,585
