id,_3_4_methylene_dioxy_methylamphetamine,cafeine,couleur,heroine,noscapine,paracetamol
1404,,22.1,Beige,15,9.2,43.7
1405,,22.1,Beige,15,9.2,43.7
1406,,22.1,Beige,15,9.2,43.7
1407,,22.1,Beige,15,9.2,43.7
1408,,22.1,Beige,15,9.2,43.7
1409,,22.1,Beige,15,9.2,43.7
1410,,22.1,Beige,15,9.2,43.7
1411,,22.1,Beige,15,9.2,43.7
1412,,22.1,Beige,15,9.2,43.7
1413,,22.1,Beige,15,9.2,43.7
1414,,22.1,Beige,15,9.2,43.7
1415,,22.1,Beige,15,9.2,43.7
1416,,22.1,Beige,15,9.2,43.7
1417,,22.1,Beige,15,9.2,43.7
1418,,22.1,Beige,15,9.2,43.7
1419,,22.1,Beige,15,9.2,43.7
1420,,22.1,Beige,15,9.2,43.7
1421,,22.1,Beige,15,9.2,43.7
1422,,22.1,Beige,15,9.2,43.7
1423,,22.1,Beige,15,9.2,43.7
1424,,22.1,Beige,15,9.2,43.7
1425,,22.1,Beige,15,9.2,43.7
1426,,22.1,Beige,15,9.2,43.7
1427,,22.1,Beige,15,9.2,43.7
1474,,,Marron,8.1,,
1475,,,Marron,8.1,,
1476,,,Marron,8.1,,
1477,,,Marron,8.1,,
1478,,,Marron,8.1,,
1479,,,Marron,8.2,,
1480,,,Marron,8.2,,
1481,,,Marron,8.2,,
1482,,,Marron,8.2,,
1483,,,Marron,8.2,,
1484,,,Marron,9.6,,
1485,,,Marron,9.6,,
1486,,,Marron,9.6,,
1487,,,Marron,9.6,,
1488,,,Marron,9.6,,
1489,,,Marron,9.7,,
1490,,,Marron,9.7,,
1491,,,Marron,9.7,,
1492,,,Marron,9.7,,
1493,,,Marron,9.7,,
1494,,,Marron,6.1,,
1495,,,Marron,6.1,,
1496,,,Marron,6.1,,
1497,,,Marron,6.1,,
1498,,,Marron,6.1,,
1499,,,Beige,14.3,,
1500,,,Beige,14.3,,
1506,,,Beige,11,,
1507,,,Beige,12.1,,
1508,,,Beige,12.2,,
1509,,,Beige,11.6,,
1510,,,Beige,10.9,,
1511,,,Beige,12.6,,
1512,,,Beige,13.4,,
1513,,,Beige,61.4,18.9,
1514,,23.6,Beige,17.6,5.2,49.7
1517,,27.3,Beige,9.3,4,56.4
1518,,27.3,Beige,9.3,4,56.4
1519,,27.3,Beige,9.3,4,56.4
1520,,27.3,Beige,9.3,4,56.4
1545,,29.7,Beige,7.3,0,59.4
1546,,32.8,Beige,0,0,60.7
1547,,27.6,Beige,10.1,0,54.7
1548,,32.8,Beige,0,0,60.7
1549,,31.4,Beige,4.4,0,62.3
1550,,31.4,Beige,4.4,0,62.3
1551,,31.4,Beige,4.4,0,62.3
1552,,31.4,Beige,4.4,0,62.3
1560,,4.8,Beige,48.4,24.1,9.2
1561,,4.8,Beige,48.4,24.1,9.2
1562,,4.8,Beige,48.4,24.1,9.2
1563,,4.8,Beige,48.4,24.1,9.2
1564,,4.8,Beige,48.4,24.1,9.2
1565,,4.8,Beige,48.4,24.1,9.2
1566,,4.8,Beige,48.4,24.1,9.2
1567,,4.8,Beige,48.4,24.1,9.2
1568,,,Beige,56.3,29.6,
1569,,,Beige,56.3,29.6,
1574,,26.7,Beige,11,0,54
1575,,26.7,Beige,11,0,54
1576,,26.7,Beige,11,0,54
1577,,26.7,Beige,11,0,54
1578,,29.1,Beige,7.3,0,58.4
1579,,29.1,Beige,7.3,0,58.4
1580,,29.1,Beige,7.3,0,58.4
1581,,,Beige,61,24.2,
1582,,,Beige,60.8,24.4,
1588,,0,Beige,0,,0
1598,,,Beige,80.2,6.4,
1599,,,Beige,80.2,6.4,
1600,,,Beige,80.2,6.4,
1601,,,Beige,80.2,6.4,
1602,,,Beige,80.2,6.4,
1603,,,Beige,80.2,6.4,
1604,,,Beige,80.2,6.4,
1605,,,Beige,80.2,6.4,
1606,,,Beige,80.2,6.4,
1607,,,Beige,80.2,6.4,
1608,,,Beige,80.2,6.4,
1724,,16,Beige,29,15,29
1725,,16,Beige,29,15,29
1726,,16,Beige,29,15,29
1727,,0,Marron,55.9,23.7,0
1764,,26.5,Beige,13.2,0,51
1765,,26.5,Beige,13.2,0,51
1766,,19.5,Marron,21.9,10.5,41.2
1770,,17,Beige,17,13,27
1771,,17,Beige,17,13,27
1772,,17,Beige,17,13,27
1775,,,Beige,52,30,
1776,,,Beige,52,30,
1778,,30,Beige,2,3,58
1780,,33,Beige,1,1,63
1781,,30,Beige,2,3,58
1784,,25.5,Beige,9.4,9.1,49.9
1786,,24.5,Beige,13.9,5.2,46.9
1870,,21.7,Beige,19.2,0,41.8
1874,,23.9,Beige,15.3,5.6,45.6
1875,,0,Marron,37.4,40.7,0
1898,,24.2,Beige,13.5,5.4,47.1
1917,,6.3,Beige,48.7,20.7,8.7
1918,,6.3,Beige,48.7,20.7,8.7
1919,,23.8,Beige,10.5,0,50.6
1992,,28,Beige,11.7,6.1,52
2025,,11,Marron,41,18,20
2031,,19.6,Beige,20.8,9.9,39.3
2032,,19.6,Beige,20.8,9.9,39.3
2033,,19.6,Beige,20.8,9.9,39.3
2034,,19.6,Beige,20.8,9.9,39.3
2035,,19.6,Beige,20.8,9.9,39.3
2036,,19.6,Beige,20.8,9.9,39.3
2037,,19.6,Beige,20.8,9.9,39.3
2044,,27,Beige,13,6,53
2045,,27,Beige,13,6,53
2046,,27,Beige,13,6,53
2047,,27,Beige,13,6,53
2048,,27,Beige,13,6,53
2049,,27,Beige,13,6,53
2050,,27,Beige,13,6,53
2051,,27,Beige,13,6,53
2052,,27,Beige,13,6,53
2063,,19.6,Beige,18.5,13.5,39.1
2080,,,Marron,59.1,22.7,
2085,,25.9,Beige,14.2,7.8,47.8
2288,,27.5,Marron,9.4,,53
2289,,27.5,Marron,9.4,,53
2290,,27.5,Marron,9.4,,53
2291,,27.5,Marron,9.4,,53
2303,,21.7,Beige,16,6.3,46.5
2304,,27.2,Beige,11.7,0,54.6
2307,,28.6,Beige,6.6,0,59.5
2308,,29.1,Beige,8.4,0,61.4
2309,,29.4,Beige,7.6,0,60.6
2310,,27.6,Beige,7.8,0,54.8
2311,,28.1,Beige,8.7,0,59.8
2312,,27.7,Beige,9.4,0,58.4
2313,,19.9,Beige,18.5,12.8,40.2
2314,,,Beige,58.1,23.9,
2315,,26.7,Beige,11,0,52.7
2321,,21.7,Beige,21.1,8.5,40.3
2322,,21.7,Beige,21.1,8.5,40.3
2323,,21.7,Beige,21.1,8.5,40.3
2324,,21.7,Beige,21.1,8.5,40.3
2325,,21.7,Beige,21.1,8.5,40.3
2326,,21.7,Beige,21.1,8.5,40.3
2327,,27,Beige,8.7,,59.9
2328,,27,Beige,8.7,,59.9
2329,,27,Beige,8.7,,59.9
2330,,27,Beige,8.7,,59.9
2331,,27,Beige,8.7,,59.9
2332,,27,Beige,8.7,,59.9
2333,,27,Beige,8.7,,59.9
2334,,27,Beige,8.7,,59.9
2335,,27,Beige,8.7,,59.9
2336,,27,Beige,8.7,,59.9
2337,,27,Beige,8.7,,59.9
2338,,27,Beige,8.7,,59.9
2339,,27,Beige,8.7,,59.9
2340,,27,Beige,8.7,,59.9
2341,,27,Beige,8.7,,59.9
2342,,27,Beige,8.7,,59.9
2343,,27,Beige,8.7,,59.9
2344,,27,Beige,8.7,,59.9
2345,,27,Beige,8.7,,59.9
2346,,27,Beige,8.7,,59.9
2347,,27,Beige,8.7,,59.9
2348,,27,Beige,8.7,,59.9
2349,,18.9,Beige,21,11.6,37
2350,,18.9,Beige,21,11.6,37
2351,,18.9,Beige,21,11.6,37
2353,,27,Beige,6.9,0,52
2356,,21.3,Beige,17.3,10,42.7
2420,,22.2,Marron,15.5,7.8,48
2436,,26.3,Beige,8,7,50.1
2437,,7,Beige,33.4,28.5,15.1
2478,,16,Marron,25.6,10.5,33.7
2479,,18.1,Marron,24,9,37.5
2480,,17.86,Marron,22.4,9.18,36.56
2481,,17.86,Marron,22.4,9.18,36.56
2482,,17.86,Marron,22.4,9.18,36.56
