id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,couleur,diametre,epaisseur,forme,hauteur,largeur,masse
10805,0,0,Blanche,0,0,,0,0,0
10808,33.7,0,Rose,10.2,5.2,Circulaire,0,0,389
10839,0,0,Jaune,0,6,Polygonale,12,12,677
10840,0,0,Beige,0,0,,0,0,0
10970,54.1,0,Violet,0,4.24,Autre,10.05,10.05,351
10971,54.1,0,Violet,0,4.24,Autre,10.05,10.05,351
10972,54.1,0,Violet,0,4.24,Autre,10.05,10.05,351
10973,54.1,0,Violet,0,4.24,Autre,10.05,10.05,351
11035,95,0,Marron,0,0,,0,0,0
11036,35,0,Bleue,0,5.6,Polygonale,10.15,14.11,581
11037,35,0,Bleue,0,5.6,Polygonale,10.15,14.11,581
11038,35,0,Bleue,0,5.6,Polygonale,10.15,14.11,581
11049,92,0,Translucide,0,0,,0,0,0
11112,13,0,Beige,0,2.72,Polygonale,11.64,13.15,360
11113,13,0,Beige,0,2.72,Polygonale,11.64,13.15,360
11114,13,0,Beige,0,2.72,Polygonale,11.64,13.15,360
11115,13,0,Beige,0,2.72,Polygonale,11.64,13.15,360
11116,13,0,Beige,0,2.72,Polygonale,11.64,13.15,360
11118,42,0,Rose,0,4.25,Autre,11.13,12.09,436
11119,42,0,Rose,0,4.25,Autre,11.13,12.09,436
11120,42,0,Rose,0,4.25,Autre,11.13,12.09,436
11123,45,0,Bleue,0,3.47,Polygonale,11.56,13.18,433
11124,45,0,Bleue,0,3.47,Polygonale,11.56,13.18,433
11126,92,0,Beige,0,0,,0,0,0
11129,35,0,Bleue,0,4.48,Polygonale,10.12,14.18,428
11134,0,0,Blanche,0,0,,0,0,0
11185,100,0,Beige,0,0,,0,0,0
11186,100,0,Beige,0,0,,0,0,0
11191,0,0,Blanche,0,0,,0,0,0
11235,0,0,Vert,0,0,,0,0,0
11237,0,0,Vert,0,0,,0,0,0
11239,0,0,Jaune,0,0,,0,0,0
11296,50,0,Rose,0,0,,0,0,0
11330,32.1,0,Beige,0,5.01,Autre,14.09,10.1,530
11331,32.1,0,Beige,0,5.01,Autre,14.09,10.1,530
11332,32.1,0,Beige,0,5.01,Autre,14.09,10.1,530
11333,32.1,0,Beige,0,5.01,Autre,14.09,10.1,530
11334,32.1,0,Beige,0,5.01,Autre,14.09,10.1,530
11335,34.4,0,Bleue,0,4.98,Polygonale,11.67,13.73,525
11336,34.4,0,Bleue,0,4.98,Polygonale,11.67,13.73,525
11337,34.4,0,Bleue,0,4.98,Polygonale,11.67,13.73,525
11338,34.4,0,Bleue,0,4.98,Polygonale,11.67,13.73,525
11339,34.4,0,Bleue,0,4.98,Polygonale,11.67,13.73,525
11353,29.7,0,Rose,0,5.37,Autre,12.3,10.71,572
11354,29.7,0,Rose,0,5.37,Autre,12.3,10.71,572
11355,29.7,0,Rose,0,5.37,Autre,12.3,10.71,572
11356,29.7,0,Rose,0,5.37,Autre,12.3,10.71,572
11357,29.7,0,Rose,0,5.37,Autre,12.3,10.71,572
11359,30.6,0,Jaune,0,5.45,Autre,12.31,10.74,568
11360,30.6,0,Jaune,0,5.45,Autre,12.31,10.74,568
11361,30.6,0,Jaune,0,5.45,Autre,12.31,10.74,568
11362,30.6,0,Jaune,0,5.45,Autre,12.31,10.74,568
11363,30.6,0,Jaune,0,5.45,Autre,12.31,10.74,568
11364,28.1,0,Vert,0,5.33,Autre,12.25,10.75,562
11365,28.1,0,Vert,0,5.33,Autre,12.25,10.75,562
11366,28.1,0,Vert,0,5.33,Autre,12.25,10.75,562
11367,28.1,0,Vert,0,5.33,Autre,12.25,10.75,562
11368,28.1,0,Vert,0,5.33,Autre,12.25,10.75,562
11370,39.1,0,Grise,0,5.59,Autre,12.23,8.17,455
11371,39.1,0,Grise,0,5.59,Autre,12.23,8.17,455
11372,39.1,0,Grise,0,5.59,Autre,12.23,8.17,455
11373,39.1,0,Grise,0,5.59,Autre,12.23,8.17,455
11374,39.1,0,Grise,0,5.59,Autre,12.23,8.17,455
11450,34,0,Violet,0,5.03,Rectangulaire_Carré,6.16,12.31,390
11451,34,0,Violet,0,5.03,Rectangulaire_Carré,6.16,12.31,390
11452,34,0,Violet,0,5.03,Rectangulaire_Carré,6.16,12.31,390
11453,34,0,Violet,0,5.03,Rectangulaire_Carré,6.16,12.31,390
11454,34,0,Violet,0,5.03,Rectangulaire_Carré,6.16,12.31,390
11455,34,0,Violet,0,4.64,Rectangulaire_Carré,6.15,12.3,394
11456,34,0,Violet,0,4.64,Rectangulaire_Carré,6.15,12.3,394
11457,34,0,Violet,0,4.64,Rectangulaire_Carré,6.15,12.3,394
11458,34,0,Violet,0,4.64,Rectangulaire_Carré,6.15,12.3,394
11459,34,0,Violet,0,4.64,Rectangulaire_Carré,6.15,12.3,394
11624,0,0,Translucide,0,0,,0,0,0
11625,0,0,Translucide,0,0,,0,0,0
11626,77.4,0,Jaune,0,0,,0,0,0
11627,77.4,0,Jaune,0,0,,0,0,0
11729,0,0,Blanche,0,0,,0,0,0
11730,0,0,Blanche,0,0,,0,0,0
11731,0,0,Blanche,0,0,,0,0,0
11732,0,0,Blanche,0,0,,0,0,0
11733,0,0,Blanche,0,0,,0,0,0
11734,0,0,Blanche,0,0,,0,0,0
11749,0,0,Jaune,0,0,,0,0,0
11750,0,0,Jaune,0,0,,0,0,0
11751,0,0,Jaune,0,0,,0,0,0
11752,0,0,Jaune,0,0,,0,0,0
11775,0,0,Blanche,0,0,,0,0,0
11776,0,0,Blanche,0,0,,0,0,0
11777,0,0,Blanche,0,0,,0,0,0
11778,0,0,Blanche,0,0,,0,0,0
11787,17.6,0,Rose,0,5.35,Autre,6.91,12.12,356
11795,22.5,0,Bleue,0,3.84,Autre,12.13,0,388
11811,29,0,Bleue,0,5.54,Polygonale,11.69,13.64,575
11812,29,0,Bleue,0,5.54,Polygonale,11.69,13.64,575
11813,29,0,Bleue,0,5.54,Polygonale,11.69,13.64,575
11814,30,0,Rose,0,5.16,Polygonale,11.71,13.67,553
11815,30,0,Rose,0,5.16,Polygonale,11.71,13.67,553
11821,23,0,Rose,0,0,,0,0,0
11822,23,0,Rose,0,0,,0,0,0
11823,23,0,Rose,0,0,,0,0,0
11824,23,0,Rose,0,0,,0,0,0
11825,23,0,Rose,0,0,,0,0,0
11835,0,0,Blanche,0,0,,0,0,0
11836,0,0,Blanche,0,0,,0,0,0
11837,0,0,Blanche,0,0,,0,0,0
11838,0,0,Blanche,0,0,,0,0,0
11839,0,0,Blanche,0,0,,0,0,0
11840,0,0,Blanche,0,0,,0,0,0
11841,0,0,Blanche,0,0,,0,0,0
11842,0,0,Blanche,0,0,,0,0,0
11843,0,0,Blanche,0,0,,0,0,0
11851,93,0,Blanche,0,0,,0,0,0
11852,93,0,Blanche,0,0,,0,0,0
11853,93,0,Blanche,0,0,,0,0,0
11858,0,0,Blanche,0,0,,0,0,0
12103,0,0,Translucide,0,0,,0,0,0
12104,50,0,Grise,0,3.73,Rectangulaire_Carré,6.9,13.38,439
12105,50,0,Grise,0,3.73,Rectangulaire_Carré,6.9,13.38,439
12106,50,0,Grise,0,3.73,Rectangulaire_Carré,6.9,13.38,439
12121,0,0,Blanche,0,0,,0,0,0
12122,0,0,Blanche,0,0,,0,0,0
12130,0,0,Translucide,0,0,,0,0,0
12131,0,0,Translucide,0,0,,0,0,0
12132,0,0,Translucide,0,0,,0,0,0
12187,49.6,0,Orange,0,4.72,Autre,12.24,9.27,427
12188,49.6,0,Orange,0,4.72,Autre,12.24,9.27,427
